scorer,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,176.27392578125,145.90994262695312,0.9999748468399048,185.00384521484375,127.8179931640625,0.999863862991333,177.06793212890625,113.6907958984375,0.9999539852142334,168.3457489013672,101.86563110351562,0.9998972415924072,153.9803924560547,241.13978576660156,0.999894380569458,153.39199829101562,258.2076721191406,0.9998781681060791,146.37423706054688,275.6311340332031,0.9998264908790588,135.1483917236328,285.979248046875,0.9986777901649475,129.5972137451172,181.3304443359375,0.9999960660934448
1,176.27392578125,145.90994262695312,0.9999735355377197,185.00384521484375,127.95121765136719,0.9998610019683838,177.06793212890625,113.6907958984375,0.9999536275863647,168.3457489013672,101.86563110351562,0.9999086856842041,153.9803924560547,241.13978576660156,0.99986732006073,153.39199829101562,258.5977478027344,0.9998811483383179,146.37423706054688,275.6801452636719,0.9998770952224731,135.1483917236328,286.32421875,0.9992104768753052,129.63937377929688,181.3304443359375,0.9999957084655762
2,176.27392578125,145.90994262695312,0.9999715089797974,185.00384521484375,127.95121765136719,0.9998279809951782,177.06793212890625,113.6907958984375,0.9999401569366455,168.3457489013672,101.86563110351562,0.9999353885650635,153.9803924560547,241.21466064453125,0.9998372793197632,153.39199829101562,258.5977478027344,0.9998692274093628,146.37423706054688,275.6801452636719,0.9998738765716553,135.1483917236328,286.80767822265625,0.9995453953742981,129.8824920654297,181.3304443359375,0.999996542930603
3,176.19895935058594,145.009521484375,0.9999686479568481,184.82666015625,127.8179931640625,0.9998787641525269,176.69810485839844,112.90538024902344,0.9999300241470337,168.0433807373047,101.07936096191406,0.9999452829360962,152.9378662109375,241.21466064453125,0.999916672706604,149.72457885742188,258.5977478027344,0.9999477863311768,143.48934936523438,275.6311340332031,0.9998403787612915,133.60635375976562,286.80767822265625,0.999777615070343,130.15408325195312,181.12911987304688,0.9999969005584717
4,175.68040466308594,144.40797424316406,0.9999505281448364,184.61911010742188,126.96527099609375,0.9999216794967651,176.3446044921875,112.01277160644531,0.9999070167541504,167.8360595703125,100.45005798339844,0.9999539852142334,152.9378662109375,240.8833465576172,0.9999445676803589,147.50433349609375,258.4111633300781,0.9999492168426514,142.52676391601562,274.2624206542969,0.9998055100440979,132.8360137939453,286.5021057128906,0.9998123049736023,130.51197814941406,180.7946319580078,0.9999974966049194
5,175.21640014648438,143.8336944580078,0.9999566078186035,184.34400939941406,126.65559387207031,0.9999344348907471,176.18185424804688,111.75572204589844,0.9998881816864014,167.7853240966797,100.02892303466797,0.9999513626098633,152.9378662109375,240.8833465576172,0.9998985528945923,147.50433349609375,258.3727111816406,0.9999486207962036,141.166259765625,273.00848388671875,0.9997889399528503,131.6893768310547,286.5021057128906,0.9997797608375549,130.5946502685547,180.7946319580078,0.9999974966049194
6,175.12765502929688,143.41136169433594,0.9999537467956543,184.1079559326172,126.14425659179688,0.9999407529830933,175.8568115234375,111.75572204589844,0.999835729598999,167.47344970703125,99.49391174316406,0.9999582767486572,153.99159240722656,241.21466064453125,0.9999018907546997,147.50433349609375,257.50311279296875,0.9999476671218872,140.75631713867188,271.27801513671875,0.9997366070747375,131.11471557617188,286.46240234375,0.9997232556343079,130.74302673339844,180.7946319580078,0.999997615814209
7,174.843505859375,143.37368774414062,0.9999583959579468,183.8030242919922,126.12196350097656,0.9999420642852783,175.59556579589844,111.75572204589844,0.9998040795326233,167.3903350830078,99.22481536865234,0.9999569654464722,157.49717712402344,240.8833465576172,0.9998962879180908,149.57684326171875,257.3814392089844,0.9999263286590576,140.75631713867188,270.86126708984375,0.9996891021728516,130.85708618164062,284.9611511230469,0.9997071623802185,130.74302673339844,180.99122619628906,0.999997615814209
8,174.55235290527344,143.15548706054688,0.9999587535858154,183.5063018798828,126.04490661621094,0.9999418258666992,175.50137329101562,111.99627685546875,0.9997642636299133,167.16583251953125,98.89220428466797,0.9999556541442871,159.28932189941406,240.8833465576172,0.9998800754547119,151.56399536132812,257.0950927734375,0.999862551689148,140.75631713867188,270.23529052734375,0.9997468590736389,130.8563690185547,283.85247802734375,0.9996840953826904,130.74302673339844,181.11378479003906,0.9999974966049194
9,174.36163330078125,142.9656982421875,0.9999641180038452,183.1478271484375,125.78068542480469,0.9999480247497559,175.24472045898438,111.99627685546875,0.9997686743736267,166.86502075195312,98.54084777832031,0.9999567270278931,161.65402221679688,241.3307647705078,0.9999305009841919,152.68252563476562,256.76947021484375,0.9998302459716797,141.83348083496094,269.5166320800781,0.9997883439064026,130.8563690185547,283.0160827636719,0.999627947807312,130.6945343017578,181.13299560546875,0.9999972581863403
