scorer,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000,DLC_resnet50_testNov19shuffle1_100000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,326.1458740234375,116.66646575927734,0.9999858140945435,328.9266052246094,98.10269165039062,0.9999116659164429,319.2908020019531,84.12581634521484,0.9997715353965759,307.6346740722656,72.90201568603516,0.9999107122421265,327.03009033203125,203.53919982910156,0.9999853372573853,327.2948303222656,220.601318359375,0.9999657869338989,318.6153259277344,235.8076934814453,0.9999150037765503,308.26007080078125,247.42640686035156,0.999897837638855,283.6252136230469,152.20184326171875,0.9999642372131348
1,326.34381103515625,116.66646575927734,0.9999860525131226,328.97216796875,98.10269165039062,0.9999011754989624,319.42608642578125,84.12581634521484,0.9998012185096741,307.7218322753906,72.92870330810547,0.9999048709869385,327.03009033203125,204.2939910888672,0.9999884366989136,327.2948303222656,221.38331604003906,0.9999655485153198,318.6153259277344,236.88072204589844,0.9999129772186279,308.58673095703125,248.57725524902344,0.9998468160629272,283.78424072265625,152.20184326171875,0.9999641180038452
2,326.5118713378906,116.66646575927734,0.999983549118042,329.490966796875,98.10269165039062,0.9998950958251953,319.74810791015625,84.12581634521484,0.9998458623886108,308.1037902832031,72.93370819091797,0.9999024868011475,327.03009033203125,205.3741455078125,0.9999891519546509,327.2948303222656,222.42730712890625,0.9999637603759766,318.6153259277344,237.91354370117188,0.9999033212661743,308.58673095703125,249.7053985595703,0.9998111128807068,283.7978820800781,152.20184326171875,0.9999675750732422
3,326.5456237792969,116.40473175048828,0.9999810457229614,329.73638916015625,97.84459686279297,0.9998623132705688,319.9952087402344,84.12581634521484,0.9998706579208374,308.2418212890625,72.93370819091797,0.9998960494995117,325.691650390625,206.3923797607422,0.999988317489624,326.3600769042969,222.9130401611328,0.9999587535858154,318.3409118652344,239.09963989257812,0.9998794794082642,308.26007080078125,250.66555786132812,0.9998418092727661,283.78424072265625,152.06466674804688,0.999970555305481
4,326.5456237792969,116.28845977783203,0.9999818801879883,329.9535827636719,97.80328369140625,0.9998583793640137,320.17901611328125,84.12887573242188,0.999884843826294,308.48175048828125,72.94914245605469,0.9998973608016968,324.8316650390625,206.50668334960938,0.9999884366989136,325.9815979003906,223.22418212890625,0.9999512434005737,318.16986083984375,239.41810607910156,0.9998548030853271,308.0730895996094,251.24859619140625,0.9998492002487183,283.78424072265625,152.0018768310547,0.9999715089797974
5,326.5615539550781,116.25161743164062,0.9999804496765137,329.9535827636719,97.80328369140625,0.9998334646224976,320.61383056640625,84.14051055908203,0.9999078512191772,308.7824401855469,72.94914245605469,0.999897837638855,323.92877197265625,206.8959503173828,0.9999880790710449,325.2901916503906,223.46751403808594,0.9999500513076782,318.0120849609375,239.5648956298828,0.9998286962509155,307.6597900390625,251.71377563476562,0.999852180480957,283.78424072265625,151.8881378173828,0.9999744892120361
6,326.5615539550781,116.0692367553711,0.9999803304672241,329.9535827636719,97.80328369140625,0.9998155236244202,320.8062744140625,84.14051055908203,0.9999158382415771,309.1872253417969,72.94914245605469,0.9998894929885864,322.23907470703125,207.4523468017578,0.999980092048645,324.1664123535156,223.49237060546875,0.9999580383300781,317.9619140625,239.98056030273438,0.9998447895050049,306.6906433105469,253.0245361328125,0.9998397827148438,283.7933349609375,151.35983276367188,0.9999797344207764
7,326.63525390625,115.96856689453125,0.9999791383743286,329.7524719238281,97.80328369140625,0.999822199344635,321.02081298828125,84.14051055908203,0.9999231100082397,309.3954162597656,72.94914245605469,0.999896764755249,320.87493896484375,207.74830627441406,0.9999634027481079,323.39251708984375,223.57237243652344,0.9999535083770752,317.6250305175781,240.01051330566406,0.9998533725738525,306.2287902832031,253.90988159179688,0.9998055100440979,283.7933349609375,151.06471252441406,0.9999812841415405
8,326.63525390625,115.6126708984375,0.9999773502349854,329.7524719238281,97.58757781982422,0.9998188614845276,321.1815490722656,84.08187103271484,0.9999294281005859,309.4986267089844,72.923828125,0.9998854398727417,319.3044738769531,208.2241668701172,0.99994957447052,322.36761474609375,223.72369384765625,0.9999381303787231,317.13311767578125,240.39154052734375,0.9998607635498047,305.75079345703125,254.29696655273438,0.999743640422821,283.80145263671875,150.72442626953125,0.9999829530715942
9,326.6713562011719,115.6036605834961,0.999977707862854,329.7524719238281,97.51641845703125,0.9998206496238708,321.246337890625,84.0562744140625,0.9999279975891113,309.6418151855469,72.87153625488281,0.9998785257339478,318.5216979980469,208.79493713378906,0.9999457597732544,321.5324401855469,224.1532745361328,0.9999299049377441,316.585205078125,240.9696502685547,0.9998801946640015,305.3621826171875,254.831298828125,0.9996708631515503,283.86614990234375,150.5696563720703,0.9999834299087524
